#,include,lang,id,spice,skip,doubt,complex,language,script,term,script alt,term alt,IPA,literal,meaning_id,meaning,explanation,remark,etymons,cognates,derivates,compare,note,loanword,donor,century,date,period,based on,att page,attested,att link,source page,source,source link,ref page,reference,ref link,ref page2,reference2,ref link2,done,Unnamed: 43,Unnamed: 44,Unnamed: 45
1.0,no,la,tester,test,,,,Language A,тест,test,алт,altest,tɛst,literal1,meaning1,meaning1,explanation1,remark1,Latin *testum*,cognates1,derivates1,,note1,yes,,14,c. 1300,,,,,,1,oed,https://www.oed.com/view/Entry/199677,test1,oed,https://www.oed.com/view/Entry/199677,,,,,,,
1.0,yes,ar,shibitt,,,,,Arabic,شبت,shibitt,,,,,,dill,,,,,,,,,,,,,,,,,1494-1495,lane_arabic-english_1863,https://archive.org/details/ArabicEnglishLexicon.CopiousEasternSources.EnlargedSuppl.Kamoos.Lane.Poole.1863/04.ArabicEnglLex.v1p4.let.12.13.14.Sin.Shin.Sad.Lane.1872./page/n217/mode/2up?view=theater,,,,,,,,,,
2.0,yes,ar,shibitt,,,,,Aramaic,\sy{ܫܒܷܬܴ݁ܐ‎},šəḇettā,\he{שִׁיבְתָא‎},šiḇəṯā,,,,dill,,,,Hebrew \he{שֶׁבֶת‎} \textit{šéḇeṯ}; Persian \fa{شوید‎} \textit{ševid} ,,,,,,,,,,,,,,,,,cal,https://cal.huc.edu/oneentry.php?lemma=%24bt+N&cits=all,,,,,,,
3.0,yes,ar,shibitt,,,,,Akkadian,\cu{𒅆𒂍𒌈},šibittu,,,,,,dill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,zh,shiluo,,,,,Mandarin Chinese,蒔蘿,shíluó,,,,,,dill,,,,,,,"From Persian زیره‎ (zire, “cumin seed”) or Sanskrit जीरक (jīraka, “cumin seed”). Attested in Tang dynasty. Compare 孜然 (zīrán, “cumin”), possibly ultimately from the same source.",,,11,1008,Northern Song,CTP,,Guangyun,,,,,,,,,,,,,,
2.0,yes,zh,shiluo,,,,,Persian,,zīra,,,,,id.,dill,distantly related to Sanskrit \textit{jīraka},zire-ye siyāh [black cumin] `caraway'; zire-ye sabz [green cumin] `cumin',,Sogdian zyr'kk /zîrê/,Persian \textit{zīra}; Hindi-Urdu \textit{zīrā},,,,,,,,,,,,634,steingass_comprehensive_1892,,,,,,,,,,,
3.0,yes,zh,shiluo,,,yes,or,Sanskrit,जीर,jīra,जीरक,jīraka,,,,dill,,,,,Hindi जीरा \textit{jīrā}; English \textit{jeera},,,,,,,,,,,,,,,,SD,https://sanskritdictionary.com/?iencoding=iast&q=j%C4%ABra&lang=sans&action=Search,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,en,fennel,,,,,English,,fennel,,,,,,,,,,,,,marathon,,,8,a. 700,Old English,,,,,fennel,oed,https://www.oed.com/view/Entry/69273,,,,,,,,,,
2.0,yes,en,fennel,,yes,,,Old English,,fenol,,"finugl, finule, fenol, finul",,,,,,,,,,,,,,8,a. 700,Old English,,,,,,,,,,,,,,,,,
3.0,yes,en,fennel,,,,,Latin,,faeniculum,,,,,,,"via Vulgar Latin \textit{fēnoclum, fēnuclum} substituted for classical Latin \textit{faeniculum}, diminutive of \textit{faenum} hay",,,,"Old French fenoil (modern French fenouil), Provençal fenolh, Italian finocchio, Spanish hinojo.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,ar,shamar,,,,,Arabic, شمر,shamar,,"shamār; shamra, shumra",,,,fennel,,,,,,,"From Aramaic, where attested forms include Jewish Babylonian Aramaic סִמְרָא‎, סִימְרָא‎ (simrā), absolute state סְמַר‎ (smar), Jewish Palestinian Aramaic שומרא‎ (šummārā), Classical Syriac ܫܲܡܵܪܵܐ‎ (šammārā) and ܫܘܼܡܵܪܵܐ‎ (šummārā), all meaning fennel, deriving from Akkadian 𒌑𒄩 (šimru, simru, “fennel”), also found in Hebrew שֻׁמָּר‎ (šummā́r, “fennel”) and שָׁמִיר‎ (šāmī́r, “dill”), and likely Ugaritic 𐎘𐎎𐎗 (ṯmr, “likely fennel”). Related to Old Armenian շամրայ (šamray), շումրայ (šumray), a Semitic borrowing.",,,,,,,,,,,,,,,,,,,,,,
2.0,yes,ar,shamar,,,,,Aramaic,,simra,,,,,,fennel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,yes,ar,shamar,,,,,Akkadian,\cu{𒌑𒄩},šimru,,simru,,,,fennel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,zh,huixiang,,,,,Mandarin Chinese,茴香,huíxiāng,,,,hui-spice,,fennel,"茴 \textit{hui} refers to fennel, anise, and related plants; it perhaps could be rendered as `muslim spice' by way of its construction: 回 `Islam; Hui people' +  艹 `grass, herb' (Hu, 2005); or, phono semantic compund",,,,,,,,,,,,,,,,,hu_food_2005,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,en,fenugreek,,,,,English,,fenugreek,,,,,,,"in old English from Latin, in Middle English and later from French",,Old English \textit{fenogræcum},,,,,,,,,,,,,,,,,,oed,https://www.oed.com/view/Entry/69289,,,,,,,
2.0,yes,en,fenugreek,,,,,French,,fenugrec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,yes,en,fenugreek,,,,,Latin,,faenugraecum,,,,Greek-hay,,,named \textit{faenum Graecum} `Greek hay' by the Romans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,ar,hulba,,,,,Arabic,حلبة,ḥulba,,,,,fenugreek,fenugreek,Semitic,,,Classical Syriac \sy{ܚܠܒܬܐ}; Hebrew \he{חִלְבָּה}‎ \textit{ḥilbā},,,,,,,,,,,,,,,,,,,,wehr_dictionary_1976,http://ejtaal.net/aa/#hw4=247,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,zh,huluba,,,,,Mandarin Chinese,胡蘆巴,húlúbā,,,,,fenugreek,fenugreek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,yes,zh,huluba,,yes,yes,,Persian,حلبة,ḥulba,,,,,id.,fenugreek,,,,,,,,,,,,,,,,,,,,,,https://dsal.uchicago.edu/cgi-bin/app/steingass_query.py?page=428,,,,,,,
2.0,yes,zh,huluba,,,,,Arabic,حلبة,ḥulba,,,,,id.,fenugreek,Semitic,,,Classical Syriac \sy{ܚܠܒܬܐ}; Hebrew \he{חִלְבָּה}‎ \textit{ḥilbā},,,,,,,,,,,,,,,,,,,,wehr_dictionary_1976,http://ejtaal.net/aa/#hw4=247,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,en,ginger,,,,,English,,ginger,,,,,,,,,"Middle English \textit{gingivere}; Anglo-Norman \textit{gingevere, gyngyver}; Old English \textit{ġinġifer, -ber}",,,,,,,10,c. 925,eOE,,,Bald's Leechbook,,,oed;ross_ginger_1952,,,OE,https://www.etymonline.com/word/ginger,,,,,,,
2.0,yes,en,ginger,,,,reinforced by,Old French,,"gingivere, gingibre ",,gingembre,,,id.,ginger,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
3.0,yes,en,ginger,,,,,Medieval Latin,,gingiber,,zingiber,,,id.,ginger,,,,,,,Late Latin,,,4,,,,,,,,,,,,,,,,,,,
4.0,yes,en,ginger,,,,,Latin,,zingiber,,zingiberi,,,id.,ginger,,,,,,,,,,1,,,,,Pliny,,,,,,,,,,,,,,
5.0,yes,en,ginger,,,,,Ancient Greek,\gr{ζιγγίβερις},ziggiberis,ζιγγίβερι,ziggiberi,,,id.,ginger,,,,,,,,,,1,,,,,Dioscorides,,,,,,,,,,,,,,
6.0,yes,en,ginger,,,,,Pali,,siṅgivera ,,singi,,,id.,ginger,,,,Sanskrit शृङ्गवेर \text{śṛṇgavera},,,,,,,,,,,,,,,,,,,,,,,,,
7.0,yes,en,ginger,,,,,Dravidian,,*cinki-wēr,,,,,id.,ginger,South dravidian nominal compound  from the etyma of Tamil and Malayalam \textit{iñci} (both with regular loss of an initial sibilant) + \textit{vēr} (Proto-Dravidian \textit{wēr}); the base of \textit{*cinki} is a loanword,,,,,"Khasi sying (pronounced /sʔiŋ/), Thai khing, Vietnamese gừng, Chinese jiāng (already in Old Chinese), all in sense ‘ginger’.",,,,,,,,,,,5,krishnamurti_dravidian_2003,,,,,,,,,,,
8.0,yes,en,ginger,,yes,,,unknown language,,?,,,,,id.,ginger,unidentified Southeast Asian language,,,"Khasi \textit{sying} /sʔiŋ/, Thai \textit{khing}, Vietnamese \textit{gừng}, Chinese \textit{jiāng}",,,,,,,,,,,,,,,,,,,,,,,,,
9.0,yes,en,ginger,,,yes,,Proto-Sino-Tibetan,,*kjaŋ,,,,,id.,ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,ar,zanjabil,,,,,Arabic,زنجبيل,zanjabīl,,,,,ginger,ginger,,,,,,,"Compare further Arabic zanjabīl (already in the Qur'an (76:17), probably transmitted via an Iranian language and perhaps also via other Semitic languages), perhaps with folk-etymological influence from Zanj , a medieval name for a region in East Africa (see Zinjanthropus n.). (Influence from either Arabic zanjabīl (preceded by the definite article al ) or its probable (although unattested) variant *zinjabīl has been suggested for the occasional Spanish variant †agengibre (16th cent.), but this is more likely to show analogy within Spanish with other common words of Arabic origin, e.g. azucar sugar n., arroz arroz n.)",,,,609-632,,,76:17,Quran,,,,,,,,,,,,,,
2.0,yes,ar,zanjabil,,,,,Classical Syriac,ܙܢܓܒܝܠ‎,zangabīl,ܙܢܓܒܝܪ,zangabīr,,,id.,ginger,,,,,,,,,,,,,,,,,,cal,,,cal,https://cal.huc.edu/oneentry.php?lemma=zngbyl+N&cits=all,,,,,,,
3.0,yes,ar,zanjabil,,,,,Pahlavi,,singibēr,,,,,id.,ginger,or via another Middle Iranian language,,,,,,,,,,,,,,,,90,ciancaglini_iranian_2008,,,,,,,,,,,
3.0,yes,ar,zanjabil,,,,,Sauraseni Prakrit,𑀲𑀺𑀁𑀕𑀺𑀯𑁂𑀭,siṃgivera,,,,,id.,ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,yes,ar,zanjabil,,,yes,,Sanskrit,शृङ्गवेर,śṛṅgavera,,,,,id.,ginger,,,Old Tamil இந்சி + வேர் \textit{iṅci} `ginger' (a loanword) + \textit{vēr} `root',,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,yes,ar,zanjabil,,,,,Dravidian,,*cinki-wēr,,,,,id.,ginger,South dravidian nominal compound  from the etyma of Tamil and Malayalam \textit{iñci} (both with regular loss of an initial sibilant) + \textit{vēr} (Proto-Dravidian \textit{wēr}); the base of \textit{*cinki} is a loanword,,,,,"Khasi sying (pronounced /sʔiŋ/), Thai khing, Vietnamese gừng, Chinese jiāng (already in Old Chinese), all in sense ‘ginger’.",,,,,,,,,,,5,krishnamurti_dravidian_2003,,,,,,,,,,,
7.0,yes,ar,zanjabil,,yes,,,unknown language,,?,,,,,id.,ginger,unidentified Southeast Asian language,,,"Khasi \textit{sying} /sʔiŋ/, Thai \textit{khing}, Vietnamese \textit{gừng}, Chinese \textit{jiāng}",,,,,,,,,,,,,,oed,,,,,,,,,,,
8.0,yes,ar,zanjabil,,,yes,,Proto-Sino-Tibetan,,*kjaŋ,,,,,id.,ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,zh,jiang,,,,,Mandarin Chinese,薑,jiāng,,,,,ginger,ginger,,,,,,,,,,-3,-221,Spring and Autumn - Warring States,CTP,,Analects; SWJZ,,,,,360,kleeman_oxford_2010,,https://en.wiktionary.org/wiki/%E8%96%91,,,,,,
2.0,yes,zh,jiang,,yes,,,Middle Chinese,䕬; 薑,,𧅁,,MC /kɨɐŋ/,,id.,ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,yes,zh,jiang,,,,,Old Chinese,䕬,,,,OC /*kaŋ/,,id.,ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,yes,zh,jiang,,,,,Proto-Sino-Tibetan,,*kjaŋ,,,,,id.,ginger,,,,,Burmese ချင်း \textit{hkyang:},,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,en,long pepper,,,,,English,,long pepper,,,,,,long pepper,,,,"Anglo-Norman as poivre lonc (13th cent.; Middle French, French poivre long) and also Middle Dutch lanc peper (Dutch lange peper), Middle Low German lanc pēper, lancpēper, Old High German langpfeffar (Middle High German langer pheffer, German langer Pfeffer), Old Swedish langa pipar (Swedish långpeppar)",,,,yes,,10,,eOE,,,Bald's Leechbook,,long pepper,oed,https://www.oed.com/view/Entry/109975?redirectedFrom=long+pepper#eid38794535,,,,,,,yes,,,
2.0,yes,en,long pepper,,,,,Latin,,piper longus,,,,pepper-long,id.,long pepper,,,,,,,,,yes,,,,,,,,,,,,,,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,ar,darfilfil,,,,,Arabic,دارفلفل,dārfilfil,,dārfulful,,,long pepper,long pepper,compound of two Persian words,,,,,,,yes,,,,,,,,,2435,lane_arabic-english_1863,,,dozy_supplement_1881,http://arabiclexicon.hawramani.com/?p=51032#99e851,,,,yes,,,
2.0,yes,ar,darfilfil,,,,,Persian,دار پلپل‎,dār pilpil,,,,,id.,long pepper,formed within Persian from \textit{dār} `wood' + \textit{pilpil} `pepper',both words are Sanskrit loanwords,,,,,,yes,yes,,,,,,,,,,,496,steingass_comprehensive_1892,https://dsal.uchicago.edu/cgi-bin/app/steingass_query.py?page=496,,,,yes,,,
3.0,yes,ar,darfilfil,,,,ultimately from,Sanskrit,,dāru + pippali,,,,,,long pepper,,,,,,,,,yes,,,,,,,,,,,,,,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,zh,biba,,,,,Mandarin Chinese,蓽拔,bìbá,,,MC /piɪt̚  buɑt̚/,,long pepper,long pepper,a phonetic loan,,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,,
2.0,yes,zh,biba,,,,,Sanskrit,पिप्पलि ,pippali,पिप्पली,pippalī,,,long pepper \textit{Piper longum} (plant and berry); a berry,long pepper \textit{Piper longum} (plant and berry); a berry,,,,,,,,,yes,,,,,,,,626,monier-williams_sanskritenglish_1899,https://www.sanskrit-lexicon.uni-koeln.de/scans/csl-apidev/servepdf.php?dict=MW&page=628,626,Monier-Williams,https://www.sanskrit-lexicon.uni-koeln.de/scans/csl-apidev/servepdf.php?dict=MW&page=628,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,en,mace,,,,,English,,mace,,,,,aril surrounding the nutmeg,aril surrounding the nutmeg,taken as a plural in Middle English (\textit{macis}) and a new singular mace was formed from it,,Middle English \textit{macis},,,,,,,13,1234,,oed,,,,,,,,OE,https://www.etymonline.com/word/mace,,,,,,,
2.0,yes,en,mace,,,,,Old French,,macis,,,,,id.,id.,,although only attested slightly later than in Middle English,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,yes,en,mace,,,,or,Medieval Latin,,macis,,,,,id.,id.,,,,Hungarian \textit{mácisdió},,,,,,12,,,,,,,,,,,,,,,,,,,
4.0,yes,en,mace,,,yes,,Latin,,macir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,yes,en,mace,,,yes,,Ancient Greek,μάκιρ,mákir,,,,,,,,of uncertain origin,,,,,,,,,,,,,,,,,,,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ma/kir,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,ar,basbas,,,,,Arabic,بسباس,basbās,بسباسة,basbāsa,,,,mace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,yes,ar,basbas,,,,,Persian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,zh,roudoukoupi,,,,,Mandarin Chinese,肉豆蔻皮,ròudòukòupí,肉豆蔻乾皮,ròudòukòugānpí,,,,mace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,en,nutmeg,,,,,English,,nutmeg,,,,,,,,,"Middle English \textit{notmyg, nutemug(g)e, etc.}",,,,,,,,,,,,,,,,,,OE,https://www.etymonline.com/word/nutmeg,,,,,,,
2.0,yes,en,nutmeg,,,,,Anglo-Norman,,*nois mugue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,yes,en,nutmeg,,,,,Old French,,nois mug(u)ede; nois musguete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,yes,en,nutmeg,,,,,Romance,,*nuce muscāta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,yes,en,nutmeg,,,,,Latin,,nux muscada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,yes,en,nutmeg,,,,,Pahlavi,,*mušk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,yes,en,nutmeg,,,,,Sanskrit,,muṣka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,ar,jawz al-tib,,,,,Arabic,جوز الطيب,jawz al-ṭīb,,,,,,nutmeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,yes,ar,jawz al-tib,,,,,Persian,,jawz buwwa,,,,,,nutmeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,zh,roudoukou,,,,,Mandarin Chinese,肉豆蔻,ròudòukòu,,,,,,nutmeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,en,pepper,,,,,English,,pepper,,,,,,,,,Middle English \textit{peper}; Old English \textit{pipor},,,,https://old-engli.sh/dictionary.php,,,9,,,,,,,,oed;lewis_middle_1952;bosworth_anglosaxon_2014,https://www.oed.com/view/Entry/140433?; https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED32888/; https://bosworthtoller.com/25235,,OE,https://www.etymonline.com/word/pepper,,Bosworth Toller,https://bosworthtoller.com/25235,yes,,oed,https://www.oed.com/view/Entry/140433?
2.0,yes,en,pepper,,,yes,,West Germanic,,*pipor,,,,,id.,id.,,,,,,,,yes,,5?,,,,,,,,oe,https://en.wiktionary.org/wiki/pepper,,Wiktionary,https://en.wiktionary.org/wiki/pepper,,,,yes,,EE; OE; MW; AH; WK,
3.0,yes,en,pepper,,,,,Latin,,piper,,,,,"black pepper, long pepper","black pepper, long pepper",,,,,,,,yes,yes,-4,,,,,,,,lewis_latin_1879,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0059%3Aentry%3Dpiper,,Lewis & Short,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0059%3Aentry%3Dpiper,,,,yes,,EE; OE; MW; AH; WK ,
4.0,yes,en,pepper,,,,,Ancient Greek,πέπερι,péperi,,,,,id.,id.,,,,,,,,yes,yes,-5,,,,,,,,liddell_greekenglish_1940,http://www.perseus.tufts.edu/hopper/morph?l=pe%2Fperi%5E&la=greek&can=pe%2Fperi%5E0#Perseus:text:1999.04.0057:entry=pe/peri^-contents,,Liddel & Scott,http://www.perseus.tufts.edu/hopper/morph?l=pe%2Fperi%5E&la=greek&can=pe%2Fperi%5E0#Perseus:text:1999.04.0057:entry=pe/peri^-contents,,,,yes,,EE; OE; MW; AH; WK;,
5.0,yes,en,pepper,,yes,yes,,Pahlavi,,?,,,,,,,,,,,,,,yes,yes,,,,,,,,,Wiktionary,,,,,,,,yes,,WK,
6.0,yes,en,pepper,,,,,Middle Indo-Aryan,पिप्परी ,pipparī,,,,,long pepper,long pepper,,,,,,,,,yes,,,,,,,,599,sheth_paiasaddamahannavo_1923,,599,Sheth,https://dsal.uchicago.edu/cgi-bin/app/sheth_query.py?qs=%E0%A4%AA%E0%A4%BF%E0%A4%AA%E0%A5%8D%E0%A4%AA%E0%A4%B0%E0%A5%80&searchhws=yes,,,,yes,,OE; AH; WK,
7.0,yes,en,pepper,,,,,Sanskrit,पिप्पलि ,pippali,पिप्पली,pippalī,,,long pepper \textit{Piper longum} (plant and berry); a berry,long pepper *Piper longum* (plant and berry); a berry,,,,,,,,,,,,,,,,,626,monier-williams_sanskritenglish_1899,https://www.sanskrit-lexicon.uni-koeln.de/scans/csl-apidev/servepdf.php?dict=MW&page=628,626,Monier-Williams,https://www.sanskrit-lexicon.uni-koeln.de/scans/csl-apidev/servepdf.php?dict=MW&page=628,,,,yes,,EE; OE; MW; AH; WK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,ar,fulful,,,,,Arabic,فلفل,"filfil, fulful",,,,,pepper,pepper,,,,,,,,yes,,,,,,,,,2434,lane_arabic-english_1863,,,HW,http://ejtaal.net/aa/#hw4=864,,sq,http://arabiclexicon.hawramani.com/?p=121371#ee739c,yes,,,
2.0,yes,ar,fulful,,,,,Persian,پلپل,pilpil,,,,,id.,id.,,,,"Old Armenian \hy{պղպեղ} \textit{płpeł}, Old Georgian \ka{პილპილი} \textit{ṗilṗili}",,,,yes,yes,,,,,,,,,,,,,,,,,yes,,,
3.0,yes,ar,fulful,,,yes,,Middle Indo-Aryan,,?,,,,,long pepper,long pepper,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,yes,,,
4.0,yes,ar,fulful,,,,,Sanskrit,पिप्पलि,pippali,पिप्पली,pippalī,,,long pepper \textit{Piper longum} (plant and berry); a berry,long pepper *Piper longum* (plant and berry); a berry,,,,,,,,,yes,,,,,,,,,sq,http://arabiclexicon.hawramani.com/?p=121371#ee739c,,,,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,zh,hujiao,,,,,Mandarin Chinese,胡椒,hú​jiāo,,,,barbarian-pepper,black pepper,black pepper,"from 胡 \textit{hú​} `Western barbarians, steppe nomads' + 椒 \textit{jiāo} `pepper, spice'","\textit{jiāo} was the prototype spice in China, originally referring to the local ``Sichuan pepper'' which is now called 花椒 \textit{huājiāo} [flower-pepper]",,,,,,,,5,5,[Northern and Southern] 420-445,,,Hou Han Shu,,,schuessler_abc_2007,,,WOLD,https://wold.clld.org/word/77161647843099036,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,no,hu,bors,,,,,Hungarian,,bors,,,,pepper,(black) pepper,(black) pepper,,,,,,,"bors [1075 tn., 1395 k.] Jövevényszó egy török nyelvből a honfoglalás előtti időből, vö. oszmán-török nyelvjárási burç, csuvas pçrçs: ’bors’. A török szavak iráni eredetűek, vö. szogd marč, pamíri märč: ’ugyanaz’. A szóvégi dezaffrikáció más török eredetű szavunkban is megfigyelhető, vö. kos, kőris. A szó a kereskedelem révén jutott el nyelvünkbe. Származékai a borsos [1333 tn.], borsoz [1540 k. (?), 1779 e.], borsika [1783].",yes,,11,1075,,,,,,,zaicz_etimologiai_2006,,,,,,,,yes,,,
2.0,no,hu,bors,,,,,Turkic,,?,,,,,id.,black pepper,,,,Ottoman Turkish \textit{burç}; Chuvash \textit{pərəs},,,,yes,yes,,,,,,,,,zaicz_etimologiai_2006,,,,,,,,yes,,,
3.0,no,hu,bors,,,,,Iranian,,?,,,,,id.,black pepper,,,,Sogdian \textit{marč}; Pamiri \textit{märč},,,,yes,yes,,,,,,,,,zaicz_etimologiai_2006,,,,,,,,yes,,,
4.0,no,hu,bors,,,,,Sanskrit,मरिच,marica,,,,,id.,black pepper,,,,,,,,,yes,,,,,,,,790,monier-williams_sanskritenglish_1899,https://www.sanskrit-lexicon.uni-koeln.de/scans/csl-apidev/servepdf.php?dict=mw&page=0790,790,monier-williams_sanskrit-english_1899,https://www.sanskrit-lexicon.uni-koeln.de/scans/csl-apidev/servepdf.php?dict=mw&page=0790,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,yes,en,saffron,,,,,English,,saffron,,,,,,,,,,,Middle English \textit{saf(f)rǒun},,"Etymology: < French safran (12th cent. in Hatzfeld & Darmesteter), whence also Middle Low German safferân, Middle Dutch saffraen (Dutch saffraan), Middle High German saffrân (modern German safran). The ultimate source is Arabic zaʿfarān (adopted unchanged in Turkish, Persian, and Hindi); also Jewish Aramaic zaʿperānā). The Arabic word with prefixed definite article, azzaʿfarān, is represented by Spanish azafran, Portuguese açafrão; the word without this prefix gives rise to Italian zafferano, zaffrone, Provençal safran, safrá, Catalan safrá, French safran, medieval Latin safranum, medieval Greek ζαϕρᾶς, modern Greek σαϕράνι, Russian šafran. The origin of Arabic zaʿfarān is unknown; it is not connected with çafrā' feminine of açfar yellow. The Turkish synonym çafrān (Zenker; given in Redh.-Wells only as an incorrect pronunciation) may however be derived from this adjective, and may be the source of some of the European forms.",yes,,13,c. 1200,,,,,,saffron,oed,https://www.oed.com/view/Entry/169701,,OE,https://www.etymonline.com/word/saffron,,,,yes,,,
2.0,yes,en,saffron,,,,,French,,safran,,,,,id.,id.,,,,,"Middle Low German \textit{safferân}, Middle Dutch \textit{saffraen} (Dutch \textit{saffraan}), Middle High German \textit{saffrân} (modern German \textit{safran})",,,yes,yes,12,c. 1150,,,,,,saf(f)rǒun,lewis_middle_1952,https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED38255/,,MED,https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED38255/,,tlfi,https://www.cnrtl.fr/etymologie/safran,yes,,,
3.0,yes,en,saffron,,,,,Medieval Latin,,saffrānum,,,,,id.,id.,,,,,,,Anglo-Latin,yes,yes,,,,,,,,safran,tlfi,https://www.cnrtl.fr/etymologie/safran,,MED,https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED38255/,,,,yes,,,
